Fecha,Caudal,Caudal_log,Caudal_log1p,Caudal_log_diff,Caudal_diff,Mes,Mes_nombre,Trimestre,Trimestre_label,Año,Epoca
2014-04-15,3.399,1.4813772423665827,1.4813772423665827,-0.003404065467961903,-0.015000000000000124,4,Abr,2,Q2,2014,Lluviosa
2014-04-16,3.37,1.4747630091074988,1.4747630091074988,-0.006614233259083946,-0.028999999999999915,4,Abr,2,Q2,2014,Lluviosa
2014-04-17,3.212,1.4379375942717292,1.4379375942717292,-0.03682541483576962,-0.15799999999999992,4,Abr,2,Q2,2014,Lluviosa
2014-04-18,3.184,1.4312677267626217,1.4312677267626217,-0.006669867509107474,-0.028000000000000025,4,Abr,2,Q2,2014,Lluviosa
2014-04-19,3.277,1.4532518292447716,1.4532518292447716,0.02198410248214988,0.09299999999999997,4,Abr,2,Q2,2014,Lluviosa
2014-04-20,3.479,1.499399807225163,1.499399807225163,0.0461479779803915,0.20199999999999996,4,Abr,2,Q2,2014,Lluviosa
2014-04-21,3.327,1.4648744612427478,1.4648744612427478,-0.0345253459824153,-0.15200000000000014,4,Abr,2,Q2,2014,Lluviosa
2014-04-22,3.19,1.4327007339340465,1.4327007339340463,-0.032173727308701494,-0.137,4,Abr,2,Q2,2014,Lluviosa
2014-04-23,3.219,1.4395981331422016,1.4395981331422016,0.006897399208155353,0.028999999999999915,4,Abr,2,Q2,2014,Lluviosa
2014-04-24,6.803,2.054508275134624,2.054508275134624,0.6149101419924226,3.584,4,Abr,2,Q2,2014,Lluviosa
2014-04-25,4.562,1.7159577558117731,1.7159577558117731,-0.3385505193228511,-2.2409999999999997,4,Abr,2,Q2,2014,Lluviosa
2014-04-26,3.94,1.597365331199831,1.597365331199831,-0.11859242461194208,-0.6220000000000003,4,Abr,2,Q2,2014,Lluviosa
2014-04-27,3.796,1.5677822371652677,1.5677822371652677,-0.029583094034563384,-0.14400000000000013,4,Abr,2,Q2,2014,Lluviosa
2014-04-28,3.767,1.561717176222689,1.5617171762226887,-0.00606506094257897,-0.028999999999999915,4,Abr,2,Q2,2014,Lluviosa
2014-04-29,5.807,1.9179514944658145,1.9179514944658145,0.3562343182431258,2.0400000000000005,4,Abr,2,Q2,2014,Lluviosa
2014-04-30,4.372,1.6812002786609912,1.6812002786609912,-0.23675121580482328,-1.4350000000000005,4,Abr,2,Q2,2014,Lluviosa
2014-05-01,4.458,1.6970824222861467,1.6970824222861467,0.015882143625155498,0.0860000000000003,5,May,2,Q2,2014,Lluviosa
2014-05-02,4.178,1.644418881329346,1.6444188813293459,-0.052663540956800814,-0.28000000000000025,5,May,2,Q2,2014,Lluviosa
2014-05-03,3.976,1.6046263554368785,1.6046263554368783,-0.03979252589246762,-0.20199999999999996,5,May,2,Q2,2014,Lluviosa
2014-05-04,3.846,1.578153622394334,1.578153622394334,-0.026472733042544272,-0.1299999999999999,5,May,2,Q2,2014,Lluviosa
